Report ID,Title,Publish Date,Start Date,End Date,Summary,URL,Source Name,Source Description,Source City,Source State,Categories,Places,
152009,Arizona starts talks on addressing dwindling Colorado River - Las Vegas Sun (NV),06/24/2020,06/25/2020, ,,http://lasvegassun.com/news/2020/jun/25/arizona-starts-talks-on-addressing-dwindling-color/,,good,Las Vegas,NV,"Relief, Response & Restrictions, Water Supply & Quality",Arizona,
151807,New Arizona fire restrictions to take effect across state on Tuesday - KTAR 620 News Radio (AZ),05/12/2020,05/12/2020, ,,https://ktar.com/story/3146137/new-arizona-fire-restrictions-to-take-effect-across-state-on-tuesday/,,,Phoenix,AZ,"Fire, Relief, Response & Restrictions","Arizona, Coconino County, AZ, Gila County, AZ, Maricopa County, AZ, Yavapai County, AZ",
156788,"AZGFD assists thirsty wildlife during extreme heat, drought - Tucson News Now (AZ)",08/20/2020,01/01/2020,12/31/2020,,http://www.tucsonnewsnow.com/2020/08/20/azgfd-assists-thirsty-wildlife-during-extreme-heat-drought/,,KOLD,Tucson,AZ,"Plants & Wildlife, Relief, Response & Restrictions, Water Supply & Quality",Arizona,
139674,Drought panel recommends continued drought declaration as experts foresee a drier winter - Department of Water Resources (AZ) (AZ),11/19/2019,11/12/2019, ,,https://new.azwater.gov/news/articles/2019-19-11,,,Phoenix,AZ,"Relief, Response & Restrictions, Water Supply & Quality",Arizona,
110110,Committee starts work on Arizona drought contingency plan - Bryan-College Station Eagle (TX),07/26/2018,07/26/2018, ,,https://www.theeagle.com/news/nation/committee-starts-work-on-arizona-drought-contingency-plan/article_68e2e2f9-c230-53bc-ac7e-020412394965.html,,good,Bryan,TX,"Relief, Response & Restrictions, Water Supply & Quality",Arizona,
110111,Committee starts work on Arizona drought contingency plan - Sacramento Bee (CA),07/25/2018,07/26/2018, ,,https://www.sacbee.com/news/state/california/article215554270.html,,,Sacramento,CA,"Relief, Response & Restrictions, Water Supply & Quality",Arizona,
114796,"Fire officials: Decision to close forests during the wildfire season paid off - Arizona Republic, AZCentral.com & KPNX-TV NBC 12 Phoenix (AZ)",10/04/2018,05/01/2018,07/31/2018,,https://www.azcentral.com/story/news/local/arizona-wildfires/2018/10/04/fire-officials-closing-forests-during-wildfire-season-paid-off/1301674002/,,Previously Arizona Republic (Phoenix) & AZCentral.com,Phoenix,AZ,"Fire, General Awareness, Relief, Response & Restrictions",Arizona,
99885,Governor says drought requires more wildfire prevention cash - Tucson Arizona Daily Star (AZ),02/08/2018,02/07/2018, ,,http://tucson.com/news/state-and-regional/governor-says-drought-requires-more-wildfire-prevention-cash/article_e688edd4-132d-5dac-89ac-61b12078a5d0.html,,updated 20200617,Tucson,AZ,"Fire, General Awareness, Relief, Response & Restrictions",Arizona,
108307,Officials work to ensure wildlife have water during drought - Bryan-College Station Eagle (TX),06/24/2018,11/30/2017, ,,https://www.theeagle.com/news/nation/officials-work-to-ensure-wildlife-have-water-during-drought/article_da778a50-453c-58a9-ade4-8ba953a4e1d5.html,,good,Bryan,TX,"Plants & Wildlife, Relief, Response & Restrictions, Water Supply & Quality",Arizona,
108305,Officials work to ensure wildlife have water during drought - ABQJournal Online (NM),06/24/2018,11/27/2017, ,,https://www.abqjournal.com/1188687/officials-work-to-ensure-wildlife-have-water-during-drought.html,,not listed,Albuquerque,NM,"Plants & Wildlife, Relief, Response & Restrictions, Water Supply & Quality",Arizona,
