Report ID,Title,Publish Date,Start Date,End Date,Summary,URL,Source Name,Source Description,Source City,Source State,Categories,Places,
161444,Colorado governor extends statewide fire ban - Cortez Journal (CO),10/07/2020,10/01/2020,10/30/2020,,https://the-journal.com/articles/190215,,Print,Cortez,CO,"Fire, General Awareness, Relief, Response & Restrictions","Colorado, Alamosa County, CO, Archuleta County, CO, Conejos County, CO, Custer County, CO, Dolores County, CO, Hinsdale County, CO, La Plata County, CO, Mineral County, CO, Montezuma County, CO, Rio Grande County, CO, Saguache County, CO, San Juan County, CO, San Miguel County, CO",
159496,Colorado Gov. Jared Polis extends statewide fire ban through September - The Lamar Ledger (CO),09/23/2020,09/18/2020,09/30/2020,,https://www.lamarledger.com/2020/09/23/jared-polis-extends-colorado-fire-ban/,,updated 20200421,Lamar,CO,"Fire, Relief, Response & Restrictions",Colorado,
157226,"Wildfires, persistent dry weather spark new round of fire restrictions - Montrose Daily Press (CO)",08/20/2020,08/20/2020, ,,https://www.montrosepress.com/news/wildfires-persistent-dry-weather-spark-new-round-of-fire-restrictions/article_d063a738-e317-11ea-a647-c3df0a012368.html,,good,Montrose,CO,"Fire, Relief, Response & Restrictions","Colorado, Delta County, CO, Garfield County, CO, Gunnison County, CO, Hinsdale County, CO, Mesa County, CO, Montrose County, CO, Ouray County, CO, Saguache County, CO, San Juan County, CO, San Miguel County, CO",
156748,Colorado bans open fires as state battles four wildfires - Gillette News-Record (WY),08/19/2020,08/18/2020,09/17/2020,,https://www.gillettenewsrecord.com/news/region/article_b1abd97b-7d6c-56c5-8bbe-3c60e1d6cabd.html,,good,Gillette,WY,"Fire, Relief, Response & Restrictions",Colorado,
154448,"Webinar details drought, fire conditions in Colorado - High Plains Midwest Ag Journal (KS)",07/20/2020,07/09/2020, ,,https://www.hpj.com/ag_news/webinar-details-drought-fire-conditions-in-colorado/article_5d6cf708-c7af-11ea-9365-fbf618fa1361.html,,Name updated 20200514,Dodge City,KS,"Agriculture, General Awareness, Water Supply & Quality",Colorado,
152014,Drought plan enacted for 40 Colorado counties by governor - Rapid City Journal (SD),06/24/2020,06/24/2020, ,,https://rapidcityjournal.com/news/national/govt-and-politics/drought-plan-enacted-for-40-colorado-counties-by-governor/article_e86d6925-c905-57d3-95c6-eb59296ad5d1.html,,good,Rapid City,SD,"Agriculture, General Awareness, Relief, Response & Restrictions, Water Supply & Quality",Colorado,
151972,"Colorado activates drought plan, task force to address creeping drought in 40 counties - The Denver Channel (CO)",06/23/2020,06/22/2020, ,,https://www.thedenverchannel.com/news/local-news/colorado-activates-drought-plan-task-force-to-address-creeping-drought-in-40-counties,,,Denver,CO,"Agriculture, General Awareness, Relief, Response & Restrictions, Water Supply & Quality","Colorado, Alamosa County, CO, Archuleta County, CO, Baca County, CO, Bent County, CO, Chaffee County, CO, Cheyenne County, CO, Conejos County, CO, Costilla County, CO, Crowley County, CO, Custer County, CO, Delta County, CO, Dolores County, CO, Eagle County, CO, El Paso County, CO, Elbert County, CO, Fremont County, CO, Garfield County, CO, Gunnison County, CO, Hinsdale County, CO, Huerfano County, CO, Kiowa County, CO, Kit Carson County, CO, La Plata County, CO, Las Animas County, CO, Lincoln County, CO, Mesa County, CO, Mineral County, CO, Montezuma County, CO, Montrose County, CO, Otero County, CO, Ouray County, CO, Pitkin County, CO, Prowers County, CO, Pueblo County, CO, Rio Grande County, CO, Saguache County, CO, San Juan County, CO, San Miguel County, CO, Washington County, CO, Yuma County, CO",
162380,Colorado’s 3 Largest Fires Ever Have Come in 2020 - Laramie Live (WY),10/23/2020,01/01/2020,10/23/2020,,https://laramielive.com/colorados-3-largest-fires-ever-have-come-in-2020/,,,Laramie,WY,Fire,Colorado,
162653,2 Colorado wildfires still burning are among largest in state history - Coloradoan (CO),10/22/2020,01/01/2020,10/22/2020,,http://www.coloradoan.com/story/news/2020/10/22/colorados-largest-wildfires-state-history-include-two-currently-burning/3730479001/,,updated 20200324,Fort Collins,CO,Fire,Colorado,
162722,"Colorado wildfires drag on later than normal, break records - ABC News (US) (NY)",10/22/2020,01/01/2020,10/22/2020,,https://abcnews.go.com/Technology/wireStory/colorado-wildfires-drag-normal-break-records-73766755,,updated,New York,NY,"Fire, General Awareness",Colorado,
