Impact ID,Title,Post Date,Start Date,End Date,Description,Categories,Places,
51057,New Mexico governor urges bans on fireworks sales,06/17/2020,06/15/2020, ,"New Mexico Gov. Michelle Lujan Grisham signed an executive order urging the state’s cities and counties to consider banning the retail sale of fireworks.  Tucson (Ariz.), June 17, 2020","Fire, Relief, Response & Restrictions","New Mexico, Bernalillo County, NM, Catron County, NM, Chaves County, NM, Cibola County, NM, Colfax County, NM, Curry County, NM, DeBaca County, NM, Dona Ana County, NM, Eddy County, NM, Grant County, NM, Guadalupe County, NM, Harding County, NM, Hidalgo County, NM, Lea County, NM, Lincoln County, NM, Los Alamos County, NM, Luna County, NM, McKinley County, NM, Mora County, NM, Otero County, NM, Quay County, NM, Rio Arriba County, NM, Roosevelt County, NM, San Juan County, NM, San Miguel County, NM, Sandoval County, NM, Santa Fe County, NM, Sierra County, NM, Socorro County, NM, Taos County, NM, Torrance County, NM, Union County, NM, Valencia County, NM",
53690,Drought reduced hay yields in New Mexico,11/25/2020,06/01/2020,11/18/2020,"Drought reduced hay production in the vicinity of Mora during the 2020 growing season.  A hay grower noted that his field produced only 80 bales, whereas it normally produces 1,500 bales.  He only got one cutting instead of two.Production was also down by 70 percent along the Rio Chama and down 25 to 50 percent in the Taos area.  In many of the acequia communities, hay yields were 10 to 25 percent of normal.Taos News (N.M.), Nov. 18, 2020","Agriculture, Plants & Wildlife","New Mexico, Mora County, NM, Taos County, NM",
50981,"New Mexico state forester lifted fire, fireworks restrictions",07/24/2020,05/13/2020,07/24/2020,"The Energy, Minerals and Natural Resources Department Forestry Division ended the smoking, firework, campfire, and open fire restrictions for all non-municipal, non-federal, and non-tribal lands effective July 24.KRWG TV/FM (Las Cruces, N.M.), July 24, 2020The New Mexico state forester imposed restrictions on fireworks, campfires and other activities on all non-municipal, non-federal and non-tribal lands statewide, due to the rising fire danger.Associated Press (N.Y.), May 15, 2020","Fire, Relief, Response & Restrictions","New Mexico, Bernalillo County, NM, Catron County, NM, Chaves County, NM, Cibola County, NM, Colfax County, NM, Curry County, NM, DeBaca County, NM, Dona Ana County, NM, Eddy County, NM, Grant County, NM, Guadalupe County, NM, Harding County, NM, Hidalgo County, NM, Lea County, NM, Lincoln County, NM, Los Alamos County, NM, Luna County, NM, McKinley County, NM, Mora County, NM, Otero County, NM, Quay County, NM, Rio Arriba County, NM, Roosevelt County, NM, San Juan County, NM, San Miguel County, NM, Sandoval County, NM, Santa Fe County, NM, Sierra County, NM, Socorro County, NM, Taos County, NM, Torrance County, NM, Union County, NM, Valencia County, NM",
49701,"Ranchers hauling water, giving supplemental feed in New Mexico",11/08/2019,10/28/2019, ,"Some New Mexico ranchers continued to haul water to their herds as drought persisted.  Supplemental feeding has increased.The Associated Press (New York), Oct. 28, 2019","Agriculture, Water Supply & Quality","New Mexico, Catron County, NM, Cibola County, NM, Colfax County, NM, McKinley County, NM, Rio Arriba County, NM, San Juan County, NM, Sandoval County, NM, Taos County, NM, Union County, NM",
48273,"Pastures suffering, stock water supplies down in New Mexico",07/25/2019,07/23/2019, ,"Continuing hot, dry, windy weather in New Mexico increased the fire danger, depleted soil moisture, and hurt pastures and stock water supplies.  High Plains/Midwest Ag Journal (Dodge City, Kan.), July 23, 2019","Agriculture, Plants & Wildlife, Water Supply & Quality","New Mexico, Bernalillo County, NM, Catron County, NM, Chaves County, NM, Cibola County, NM, Colfax County, NM, Curry County, NM, DeBaca County, NM, Dona Ana County, NM, Eddy County, NM, Grant County, NM, Guadalupe County, NM, Harding County, NM, Hidalgo County, NM, Lea County, NM, Lincoln County, NM, Los Alamos County, NM, Luna County, NM, McKinley County, NM, Mora County, NM, Otero County, NM, Quay County, NM, Rio Arriba County, NM, Roosevelt County, NM, San Juan County, NM, San Miguel County, NM, Sandoval County, NM, Santa Fe County, NM, Sierra County, NM, Socorro County, NM, Taos County, NM, Torrance County, NM, Union County, NM, Valencia County, NM",
48074,Lower grazing fees in New Mexico,03/13/2019,03/12/2019,12/31/2019,"The New Mexico State Land Office lowered grazing fees for ranches on State Trust land as drought reduced the amount of available forage land and increased operating costs.  The fee was lowered about 1.79 percent from 2018, averaging about $5.60 per animal unit month.  The Land Office leases roughly 8.8 million acres of State Trust land for livestock grazing.  Carlsbad Current-Argus (N.M.), March 12, 2019","Agriculture, Plants & Wildlife, Relief, Response & Restrictions",New Mexico,
46733,Cattle herds requiring more forage supplementation in New Mexico,08/24/2018,08/23/2018, ,"Drought forced New Mexico’s cattle producers to supplement their herd’s forage longer than usual, according to Marshal Wilson, a natural resource policy and planning analyst with the state Department of Agriculture.  Ranchers will have to consider various management options that involve continued supplementation and the possibility of selling cattle. ABQJournal Online (Albuquerque, N.M.), Aug. 23, 2018","Agriculture, Plants & Wildlife","New Mexico, Bernalillo County, NM, Catron County, NM, Chaves County, NM, Cibola County, NM, Colfax County, NM, Curry County, NM, DeBaca County, NM, Dona Ana County, NM, Eddy County, NM, Grant County, NM, Guadalupe County, NM, Harding County, NM, Hidalgo County, NM, Lea County, NM, Lincoln County, NM, Los Alamos County, NM, Luna County, NM, McKinley County, NM, Mora County, NM, Otero County, NM, Quay County, NM, Rio Arriba County, NM, Roosevelt County, NM, San Juan County, NM, San Miguel County, NM, Sandoval County, NM, Santa Fe County, NM, Sierra County, NM, Socorro County, NM, Taos County, NM, Torrance County, NM, Union County, NM, Valencia County, NM",
44774,Changes to fish stocking regimen on Pecos River in New Mexico,05/18/2018,05/18/2018, ,"The low water levels prompted New Mexico Game & Fish to stock fewer fish on the Pecos River and take the remaining fish elsewhere.  Some of the trout that would normally be stocked in northern New Mexico waterways were instead taken to the San Juan River and Heron, Storrie, Eagle Nest and El Vado lakes.ABQJournal Online (Albuquerque, N.M.), May 18, 2018","Plants & Wildlife, Relief, Response & Restrictions, Tourism & Recreation, Water Supply & Quality","New Mexico, Chaves County, NM, DeBaca County, NM, Eddy County, NM, Guadalupe County, NM, Anton Chico, NM, San Miguel County, NM, Pecos, NM",
44261,New Mexico FSA prepared to help ranchers with forage shortage,02/23/2018,02/23/2018, ,"The state office of the U.S. Department of Agriculture’s Farm Services Agency was getting ready to made emergency funds available to help ranchers buy forage for livestock, in the event that is needed. ABQJournal Online (Albuquerque, N.M.), Feb. 23, 2018","Agriculture, Relief, Response & Restrictions","New Mexico, Bernalillo County, NM, Catron County, NM, Chaves County, NM, Cibola County, NM, Colfax County, NM, Curry County, NM, DeBaca County, NM, Dona Ana County, NM, Eddy County, NM, Grant County, NM, Guadalupe County, NM, Harding County, NM, Hidalgo County, NM, Lea County, NM, Lincoln County, NM, Los Alamos County, NM, Luna County, NM, McKinley County, NM, Mora County, NM, Otero County, NM, Quay County, NM, Rio Arriba County, NM, Roosevelt County, NM, San Juan County, NM, San Miguel County, NM, Sandoval County, NM, Santa Fe County, NM, Sierra County, NM, Socorro County, NM, Taos County, NM, Torrance County, NM, Union County, NM, Valencia County, NM",
44256,"New Mexico ranchers seeking out alfalfa, selling livestock",02/22/2018,02/22/2018, ,"Many New Mexico ranchers were eagerly looking to purchase alfalfa to supplement cattle feed supplies, while some ranchers from Sandoval County to Lincoln County were selling cattle, foreseeing insufficient feed supplies.  A goat producer in Catron County typically allows their animals to forage during the winter with organic hay as a fallback, but the lack of forage forced the producer to sell half of the herd. KOB-TV NBC 4 (Albuquerque, N.M.), Feb. 22, 2018","Agriculture, Plants & Wildlife","New Mexico, Bernalillo County, NM, Catron County, NM, Dona Ana County, NM, Lincoln County, NM, Sandoval County, NM, Santa Fe County, NM, Torrance County, NM",
