Impact ID,Title,Post Date,Start Date,End Date,Description,Categories,Places,
51611,"Livestock sales, winter wheat drilled in Colorado",10/16/2020,10/16/2020, ,"Some Colorado ranchers opted to sell cattle, and winter wheat had to be drilled in in many locations rather than planted conventionally, due to low soil moisture, according to a service climatologist and drought specialist at Colorado State University’s Colorado Climate Center.South Platte Sentinel (Sterling, Colo.), Oct 16, 2020",Agriculture,Colorado,
51556,"Colorado drought plan expanded, request for emergency relief",10/02/2020,10/01/2020, ,"As drought worsened in Colorado, with an area of exceptional drought appearing in the western part of the state, Gov. Jared Polis expanded the second phase of the state’s drought response plan to all counties.  A drought task force will assess initial damages and drought impacts and make recommendations on mitigation measures.  Polis also requested that the U.S. Department of Agriculture provide emergency relief for Colorado producers as they endure financial losses.Colorado Public Radio (Centennial), Oct 1, 2020","Agriculture, Relief, Response & Restrictions","Colorado, Delta County, CO, Garfield County, CO, Mesa County, CO, Pitkin County, CO",
51451,Low hay supplies leading to livestock sales in Colorado,09/14/2020,09/06/2020, ,"Colorado farmers were not able to sell livestock in February and March as they normally would, due to COVID-19 causing the closing or reduced production in meatpacking plants.  Drought has limited hay supplies, putting additional pressure on ranchers and forcing them to sell at low prices.The Aspen Times (Colo.), Sept 6, 2020","Agriculture, Plants & Wildlife","Colorado, Garfield County, CO",
51363,"Drought affected Colorado agriculture, livestock statewide",08/21/2020,08/21/2020,12/31/2020,"Drought curbed Colorado’s winter wheat harvest, amounting to 46.5 million bushels, which was half of the 98 million bushels harvested in 2019, according to the U.S. Department of Agriculture.  Overall yield in 2020 was 30 bushels per acre, compared to 49 bpa in 2019.  Nearly 2 million acres of wheat were planted in the Centennial State, but only 1.55 million acres were harvested.Colorado’s corn crop is forecast to be about 152 million bushels, down 5 percent from the 2019 harvest of almost 160 million bushels.  Twenty-five percent of the corn was rated very poor or poor as of Aug. 2.Irrigation water was short for junior rights holders on the Bessemer Ditch near Pueblo.  Irrigation water from the Paonia Reservoir in southwest Colorado ended a month early.  Southeastern Colorado ranchers were considering significant herd reductions as the lack of rain severely limited available forage and water for livestock.The Denver Post (Colo.), Aug. 21, 2020","Agriculture, Plants & Wildlife, Water Supply & Quality","Colorado, Adams County, CO, Alamosa County, CO, Arapahoe County, CO, Archuleta County, CO, Baca County, CO, Bent County, CO, Boulder County, CO, Broomfield County, CO, Chaffee County, CO, Cheyenne County, CO, Clear Creek County, CO, Conejos County, CO, Costilla County, CO, Crowley County, CO, Custer County, CO, Delta County, CO, Denver County, CO, Dolores County, CO, Douglas County, CO, Eagle County, CO, El Paso County, CO, Elbert County, CO, Fremont County, CO, Garfield County, CO, Gilpin County, CO, Grand County, CO, Gunnison County, CO, Hinsdale County, CO, Huerfano County, CO, Jackson County, CO, Jefferson County, CO, Kiowa County, CO, Kit Carson County, CO, La Plata County, CO, Lake County, CO, Larimer County, CO, Las Animas County, CO, Lincoln County, CO, Logan County, CO, Mesa County, CO, Mineral County, CO, Moffat County, CO, Montezuma County, CO, Montrose County, CO, Morgan County, CO, Otero County, CO, Ouray County, CO, Park County, CO, Phillips County, CO, Pitkin County, CO, Prowers County, CO, Pueblo County, CO, Rio Blanco County, CO, Rio Grande County, CO, Routt County, CO, Saguache County, CO, San Juan County, CO, San Miguel County, CO, Sedgwick County, CO, Summit County, CO, Teller County, CO, Washington County, CO, Weld County, CO, Yuma County, CO",
51373,Stage I fire restrictions for areas of western Colorado,08/25/2020,08/20/2020, ,"Stage I fire restrictions took effect again for the unincorporated parts of Montrose County on Aug. 20, due to high temperatures, numerous large wildfires statewide and intensifying drought.  In addition, Grand Mesa, Uncompahgre and Gunnison National Forests, City of Ouray and Ouray County and Delta County enacted the same level of restrictions.  Montrose Daily Press (Colo.), Aug. 20, 2020","Fire, Relief, Response & Restrictions","Colorado, Delta County, CO, Garfield County, CO, Gunnison County, CO, Hinsdale County, CO, Mesa County, CO, Montrose County, CO, Ouray County, CO, Saguache County, CO, San Juan County, CO, San Miguel County, CO",
51342,"Coloradoans urged to be ""fire-wise"" outdoors",08/18/2020,08/18/2020, ,"Colorado Parks and Wildlife reminded the public to be “fire-wise” while recreating outdoors in late summer as numerous large wildfires, such as the Pine Gulch Fire and Grizzly Creek Fire, burned in the state. Montrose Daily Press (Colo.), Aug 18, 2020","Fire, Relief, Response & Restrictions","Colorado, Garfield County, CO, Mesa County, CO",
51350,Extended ban on open fires in Colorado,10/08/2020,08/18/2020,11/04/2020,"Colorado’s statewide fire ban expired on Sept. 30, but Gov. Jared Polis extended the ban another 30 days as wildfires continued to burn in the state.  Six large wildfires burned more than 323,000 acres in the Centennial State in 2020, with the largest, the Cameron Peak Fire torching an estimated 128,000 acres through Oct. 7.The Cortez Journal (Colo.), Oct 7, 2020Colorado Gov. Jared Polis extended the fire ban through the end of September as conditions remained hazardous.  More than 900 fires have already burned in Colorado, charring more than 330,000 acres.The Arapaho and Roosevelt NF and Pawnee National Grassland, along with adjacent counties remained in Stage 2 fire restrictions, essentially prohibiting all open flames. The Lamar Ledger (Colo.), Sept 23, 2020Colorado Gov. Jared Polis announced a 30-day ban on open fires, fireworks and other open sources of ignition on Aug. 18 as firefighters fought four large wildfires.  As of Aug. 14, the four blazes had charred 208 square miles of mostly federal land, but also some state land and private property.Gillette News-Record (Wyo.), Aug. 18, 2020","Fire, Relief, Response & Restrictions",Colorado,
51254,"Reduced ag water supplies, hay short in Colorado",07/30/2020,07/09/2020, ,"Drought impact information was shared at a July 9 webinar hosted by the National Integrated Drought Information System and others.  Water supplies for agriculture in Colorado were greatly reduced.  Farmers were chiseling wheat to keep it from blowing, according to Farm Service Agency and Colorado State Extension.  Grass fires were a problem in southeast Colorado.  Ranchers were purchasing hay and requesting emergency grazing, selling cattle and running out of irrigation water.High Plains Midwest Ag Journal (Dodge City, Kan.), July 17, 2020","Agriculture, Plants & Wildlife, Water Supply & Quality",Colorado,
51098,"Drought task force, drought plan activated in Colorado",06/24/2020,06/22/2020, ,"Colorado Gov. Jared Polis activated the state’s Drought Task Force and drought plan for 40 counties on June 22 as drought covered much of the state.  The task force will assess drought damage and recommend mitigation strategies.  An Agricultural Impact Task Force will also be activated to examine physical and economic impacts due to drought.The Denver Channel (Colo.), June 23, 2020","Agriculture, Relief, Response & Restrictions, Water Supply & Quality","Colorado, Alamosa County, CO, Archuleta County, CO, Baca County, CO, Bent County, CO, Chaffee County, CO, Cheyenne County, CO, Conejos County, CO, Costilla County, CO, Crowley County, CO, Custer County, CO, Delta County, CO, Dolores County, CO, Eagle County, CO, El Paso County, CO, Elbert County, CO, Fremont County, CO, Garfield County, CO, Gunnison County, CO, Hinsdale County, CO, Huerfano County, CO, Kiowa County, CO, Kit Carson County, CO, La Plata County, CO, Las Animas County, CO, Lincoln County, CO, Mesa County, CO, Mineral County, CO, Montezuma County, CO, Montrose County, CO, Otero County, CO, Ouray County, CO, Pitkin County, CO, Prowers County, CO, Pueblo County, CO, Rio Grande County, CO, Saguache County, CO, San Juan County, CO, San Miguel County, CO, Washington County, CO, Yuma County, CO",
50955,Campfires prohibited in Colorado's national forests,05/08/2020,05/07/2020, ,"With April being among the driest in recorded history for Colorado, snowpack was melting quickly.  Fire danger was rising, and campfires and charcoal fires were prohibited in national forests throughout the state, due to coronavirus concerns.Associated Press (N.Y.), May 7, 2020","Fire, Relief, Response & Restrictions","Colorado, Alamosa County, CO, Archuleta County, CO, Baca County, CO, Boulder County, CO, Broomfield County, CO, Chaffee County, CO, Clear Creek County, CO, Conejos County, CO, Costilla County, CO, Custer County, CO, Delta County, CO, Dolores County, CO, Douglas County, CO, Eagle County, CO, El Paso County, CO, Fremont County, CO, Garfield County, CO, Gilpin County, CO, Grand County, CO, Gunnison County, CO, Hinsdale County, CO, Huerfano County, CO, Jackson County, CO, Jefferson County, CO, La Plata County, CO, Lake County, CO, Larimer County, CO, Las Animas County, CO, Mesa County, CO, Mineral County, CO, Moffat County, CO, Montezuma County, CO, Montrose County, CO, Morgan County, CO, Otero County, CO, Ouray County, CO, Park County, CO, Pitkin County, CO, Rio Blanco County, CO, Rio Grande County, CO, Routt County, CO, Saguache County, CO, San Juan County, CO, San Miguel County, CO, Summit County, CO, Teller County, CO, Weld County, CO",
