Impact ID,Title,Post Date,Start Date,End Date,Description,Categories,Places,
51454,Fire restrictions in Wyoming,09/14/2020,09/07/2020, ,"The Wyoming Game and Fish Department enacted fire restrictions and bans on many Commission-owned and administered lands across the state.  Game and Fish has fire bans in the Laramie, Lander, Sheridan and Casper regions. The U.S. Forest Service, Teton County, Sublette County, Lincoln County other land-management agencies also have partial fire bans in their jurisdictions.Jackson Hole News & Guide (Wyo.), Sept 7, 2020","Fire, Relief, Response & Restrictions, Tourism & Recreation","Wyoming, Fremont County, WY, Laramie County, WY, Lincoln County, WY, Natrona County, WY, Sheridan County, WY, Sublette County, WY, Teton County, WY",
29594,The Wyoming Department of Agriculture planned workshops to assist U.S. Forest Service and Bureau of Land Management permittees with drought preparedness planning,09/18/2013,09/15/2013, ,"The Wyoming Department of Agriculture has planned eight workshops to assist U.S. Forest Service and Bureau of Land Management permittees with creating drought contingency plans for their grazing permits.  Casper Star-Tribune (Wyo.), Sept. 15, 2013","Agriculture, Relief, Response & Restrictions",Wyoming,
28310,Wyoming ranchers welcomed the recent spring snowstorm for the moisture to revive grazing pastures,04/22/2013,04/21/2013, ,"Ranchers welcomed the recent spring snowstorm for the moisture to revive grazing pastures, despite any calf deaths that may result from the snow.  The executive vice president of the Wyoming Stock Growers Association stated, ""I think the general attitude is we were so desperate for the moisture that in the long term that's maybe a sacrifice that people are willing to accept.""  Casper Star-Tribune (Wyo.), April 21, 2013",Agriculture,Wyoming,
28294,Hay prices remained high in Wyoming,04/16/2013,04/14/2013, ,"Hay prices remained high in Wyoming as drought prevented hay from growing well in 2012.  A rancher near Gillette said that a ton of first cut alfalfa was selling for $250 to $300 and that much of it was coming from South Dakota and Montana.  Billings Gazette (Mont.), April 14, 2013",Agriculture,"Wyoming, Campbell County, WY",
27540,USDA Designates 4 Counties in Montana as Primary Natural Disaster Areas With Assistance to Producers in Surrounding Counties and States,09/10/2012,09/05/2012, ,"The U.S. Department of Agriculture (USDA) on Sept. 5 designated four counties in Montana as primary natural disaster areas due to damages and losses caused by the recent drought. Ten contiguous counties in Montana, Idaho and Wyoming were also eligible for low-interest emergency loans under this declaration. This declaration permits  farmers, ranchers, and other agricultural producers who meet eligibility requirements to apply for low-interest emergency loans from the Farm Service Agency.  USDA FSA press release, Sept. 5, 2012, Bozeman Daily Chronicle (Mont.), Sept. 5, 2012","Agriculture, Relief, Response & Restrictions","Fremont County, ID, Beaverhead County, MT, Broadwater County, MT, Deer Lodge County, MT, Gallatin County, MT, Jefferson County, MT, Lewis and Clark County, MT, Madison County, MT, Meagher County, MT, Park County, MT, Powell County, MT, Silver Bow County, MT, Wyoming, Park County, WY, Teton County, WY",
27452,Dry conditions hurt the Wyoming hay crop,08/22/2012,08/18/2012, ,"Dry conditions have hurt the Wyoming hay crop, driving estimates down to an expected yield of 925,000 acres of hay and an overall tonnage of 1.82 million tons, 23 percent lower than the 2011 harvest.  If this comes to pass, it will be the worst hay acreage in almost 80 years and the worst production since 2002.  The director of the USDA National Agricultural Statistics Service office in Cheyenne said that the lousy hay crop has raised prices.  Casper Star-Tribune (Wyo.), Aug. 18, 2012",Agriculture,Wyoming,
27262,"The governor of Wyoming sought disaster declarations for all counties, but one",07/30/2012,07/18/2012, ,"The governor of Wyoming appealed to the U.S. secretary of agriculture for drought disaster declarations for all counties in the state, except for Teton.  On July 18, 16 counties received disaster declarations and the remaining counties were eligible for assistance because they bordered primary drought disaster counties.  The disaster declaration also opened up access to Conservation Reserve Program land for haying and grazing.   Cheyenne Wyoming Tribune-Eagle, July 27, 2012","Agriculture, Relief, Response & Restrictions",Wyoming,
44673,Open fires prohibited on Wyoming Game and Fish Dept. land,04/27/2018,07/10/2012, ,"The Wyoming Game and Fish Department expanded its ban on open fires to encompass all land owned and administered by the state Game and Fish Commission.  It was prohibited to use a fire, campfire, charcoal grill, coal or wood burning stove on the lands. Billings Gazette (Mont.), July 10, 2012","Fire, Relief, Response & Restrictions","Wyoming, Albany County, WY, Big Horn County, WY, Campbell County, WY, Carbon County, WY, Converse County, WY, Crook County, WY, Fremont County, WY, Goshen County, WY, Hot Springs County, WY, Johnson County, WY, Laramie County, WY, Lincoln County, WY, Natrona County, WY, Niobrara County, WY, Park County, WY, Platte County, WY, Sheridan County, WY, Sublette County, WY, Sweetwater County, WY, Teton County, WY, Uinta County, WY, Washakie County, WY, Weston County, WY",
44431,"Campers, hunters asked to avoid blocking access for wildlife to waterholes in Wyoming",03/13/2018,07/05/2012, ,"The Wyoming Game and Fish Department have requested that people not camp directly at water holes, preventing wildlife from getting desperately needed water.  With the severe drought conditions, wildlife were having trouble accessing water.  Hunters and campers were also asked to camp away from well-established game trails leading to waterholes.Casper Star-Tribune (Wyo.), July 5, 2012","Plants & Wildlife, Tourism & Recreation, Water Supply & Quality",Wyoming,
31187,Governor of Wyoming sought a federal disaster declaration,12/12/2014,06/22/2012, ,"The governor of Wyoming sought a federal disaster declaration as meager runoff from a thin snowpack and a dry spring left ranchers with little forage for their livestock.  Across the state, about one-half of pasture grass and hay production on non-irrigated land was lost, according to the deputy director for the Wyoming Department of Agriculture.  Ranchers were having a very hard time providing for their herds.  Many cattle have been sold, depending how far behind on rainfall a particular area was.  Reuters (New York), June 22, 2012","Agriculture, Plants & Wildlife, Relief, Response & Restrictions, Water Supply & Quality",Wyoming,
29320,Drought interfered with cloud seeding project in Wyoming,07/25/2013,10/01/2011,05/31/2013,"A research project by the Wyoming Water Development Office evaluating the effectiveness of cloud seeding over the mountains in Wyoming has been hindered by drought during two recent winters.  The drought limited the number of cloud seeding opportunities.  Roughly $13 million has been spent on the experiment since 2005.  Casper Star-Tribune (Wyo.), July 22, 2013",Society & Public Health,Wyoming,
22514,"Relief, Response & Restrictions impact from Media submitted on 12/17/2007",12/17/2007,12/15/2007,12/15/2007,"Small businesses in Wyoming are eligible for federal disaster loans from the Small Business Administration for losses in revenue due to drought.  The declaration makes small businesses, small agricultural cooperatives, and nurseries eligible for loans through the Economic Injury Disaster Loan program.  Farmers and ranchers should not apply.  Applications must be received by July 16, 2008.Impact Source:  MediaMore Information:  http://www.casperjournal.com/articles/2007/12/15/business/biz120507b.txt","Relief, Response & Restrictions",Wyoming,
20532,Water Supply & Quality impact from Media submitted on 6/22/2007,06/22/2007,06/22/2007,06/22/2007,"Wyoming residents have been asked by the Governor’s Task Force to reduce their water use.  The state received below normal amounts of snowfall that melted early.  Spring storms led to plenty of lush grass that could dry out and provide fuel for wildfires during the summer, with areas west of the Continental Divide predicted to have a busy fire season.  The spokesman for the Wyoming Game and Fish Department noted that the Seminoe, Pathfinder and Grayrocks reservoirs are critically low on water.Impact Source:  MediaMore Information:  http://www.billingsgazette.net/articles/2007/06/22/news/wyoming/30-water.txt",Water Supply & Quality,Wyoming,
